药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
shumi,黍米,Shǔ Mǐ,稷米、粢米、穄米、糜子米,,,https://www.zysj.com.cn/zhongyaocai/shumi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:20
shexiangcao,麝香草,Shè Xiānɡ Cǎo,百里香（《上海植物名录》）。,,,https://www.zysj.com.cn/zhongyaocai/shexiangcao/index.html,1,《中药大辞典》,2025-12-21 22:28:21
shexiang,麝香,Shè Xiānɡ,原麝香、香脐子、寸草、麝脐香、臭子,,,https://www.zysj.com.cn/zhongyaocai/shexiang/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 22:28:22
shufu,鼠妇,Shǔ Fù,潮湿虫、潮虫、地虱婆,,,https://www.zysj.com.cn/zhongyaocai/shufu/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:28:23
shanyuxue,鳝鱼血,Shàn Yú Xuè,,,,https://www.zysj.com.cn/zhongyaocai/shanyuxue/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:23
sherou,麝肉,Shè Ròu,,,,https://www.zysj.com.cn/zhongyaocai/sherou/index.html,1,《中华本草》,2025-12-21 22:28:25
shexiangke,麝香壳,Shè Xiānɡ Ké,臭子壳、麝壳,,,https://www.zysj.com.cn/zhongyaocai/shexiangke/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:25
shanyupi,鳝鱼皮,Shàn Yú Pí,,,,https://www.zysj.com.cn/zhongyaocai/shanyupi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:26
shayugu,鲨鱼骨,Shā Yú Gǔ,,,,https://www.zysj.com.cn/zhongyaocai/shayugu/index.html,1,《中华本草》,2025-12-21 22:28:27
shanyugu,鳝鱼骨,Shàn Yú Gǔ,鳝骨（《医林纂要》）。,,,https://www.zysj.com.cn/zhongyaocai/shanyugu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:27
shanyu,鳝鱼,Shàn Yú,鳣（《山海经》），黄鳣（《异苑》），鳣鱼（《千金·食治》），海蛇（《黑龙江中药》）。,,,https://www.zysj.com.cn/zhongyaocai/shanyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:29
shayutai,鲨鱼胎,Shā Yú Tāi,,,,https://www.zysj.com.cn/zhongyaocai/shayutai/index.html,1,《中华本草》,2025-12-21 22:28:30
shayuyou,鲨鱼油,Shā Yú Yóu,,,,https://www.zysj.com.cn/zhongyaocai/shayuyou/index.html,1,《中华本草》,2025-12-21 22:28:30
shayurou,鲨鱼肉,Shā Yú Ròu,鲛鱼肉,,,https://www.zysj.com.cn/zhongyaocai/shayurou/index.html,1,《中华本草》,2025-12-21 22:28:32
shouwuteng,首乌藤,Shǒu Wū Ténɡ,夜交藤,,,https://www.zysj.com.cn/zhongyaocai/shouwuteng/index.html,1,《中国药典》,2025-12-21 22:28:33
shayupi,鲨鱼皮,Shā Yú Pí,鲛鱼皮,,,https://www.zysj.com.cn/zhongyaocai/shayupi/index.html,1,《中华本草》,2025-12-21 22:28:33
shiyulin,鲥鱼鳞,Shí Yú Lín,,,,https://www.zysj.com.cn/zhongyaocai/shiyulin/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:33
shayuchi,鲨鱼翅,Shā Yú Chì,鲛鱼翅、鲛鲨翅、沙鱼翅、金丝菜,,,https://www.zysj.com.cn/zhongyaocai/shayuchi/index.html,1,《中华本草》,2025-12-21 22:28:33
shayudan,鲨鱼胆,Shā Yú Dǎn,鲛鱼胆,,,https://www.zysj.com.cn/zhongyaocai/shayudan/index.html,1,《中华本草》,2025-12-21 22:28:34
shayuxin,鲨鱼心,Shā Yú Xīn,,,,https://www.zysj.com.cn/zhongyaocai/shayuxin/index.html,1,《中华本草》,2025-12-21 22:28:34
shiyan_10191,食盐,Shí Yán,盐（《周礼》），咸鹾（《礼记》）。,,,https://www.zysj.com.cn/zhongyaocai/shiyan_10191/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:34
shaoyu,鮹鱼,Shāo Yú,烟管鱼、火筒、海灯世、灯笼鱼、火管、马鞭鱼、竹鱼,,,https://www.zysj.com.cn/zhongyaocai/shaoyu/index.html,1,《中华本草》,2025-12-21 22:28:35
shiyu,鲥鱼,Shí Yú,瘟鱼（《纲目》），三黎（《本草求原》）。,,,https://www.zysj.com.cn/zhongyaocai/shiyu/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:28:35
shizhuyu,食茱萸,Shí Zhū Yú,越椒（《广雅》），檔子（《本草拾遗》），艾子（《本草图经》），辣子（《纲目》）。,,,https://www.zysj.com.cn/zhongyaocai/shizhuyu/index.html,1,《中药大辞典》,2025-12-21 22:28:36
shunjiangmu,顺江木,Shùn Jiānɡ Mù,大舒筋活血、狭叶樟,,,https://www.zysj.com.cn/zhongyaocai/shunjiangmu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:36
shaozi,韶子,Sháo Zǐ,山韶子（《桂海虞衡志》），毛荔枝（《植物名实图考》），毛召（《陆川本草》）。,,,https://www.zysj.com.cn/zhongyaocai/shaozi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:36
suanjiao,酸角,Suān Jiǎo,酸饺（《滇南本草》），酸梅、曼姆（《中国主要植物图说·豆科》），通血香（《云南中草药选》）。,,,https://www.zysj.com.cn/zhongyaocai/suanjiao/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:37
suishouxiang,随手香,,洗手香、带手香、路边香、三柰香,,,https://www.zysj.com.cn/zhongyaocai/suishouxiang/index.html,1,《全国中草药汇编》,2025-12-21 22:28:38
suanjiangcai,酸浆菜,Suān Jiānɡ Cài,山蓼,,,https://www.zysj.com.cn/zhongyaocai/suanjiangcai/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:39
suantengmu,酸藤木,Suān Ténɡ Mù,白背酸藤、通天霸、炮子藤（《陆川本草》），透地龙（《南宁市药物志》），鸡母酸，酸醋木、海底龙（《广西药植名录》），入地龙（广州部队《常用中草药手册》）。,,,https://www.zysj.com.cn/zhongyaocai/suantengmu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:39
shuanghongteng,霜红藤,Shuānɡ Hónɡ Ténɡ,山货榔、哥兰叶、米汤叶、绵条子,,,https://www.zysj.com.cn/zhongyaocai/shuanghongteng/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:28:39
suantengguo,酸藤果,Suān Ténɡ Guǒ,酸蔃子（《南宁市药物志》），酸藤头（广州部队《常用中草药手册》）。,,,https://www.zysj.com.cn/zhongyaocai/suantengguo/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:40
suanhouer,酸猴儿,Suān Hóu ér,,,,https://www.zysj.com.cn/zhongyaocai/suanhouer/index.html,1,《中华本草》,2025-12-21 22:28:40
suoyang,锁阳,Suǒ Yánɡ,锈铁锤、地毛球、锁燕,,,https://www.zysj.com.cn/zhongyaocai/suoyang/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 22:28:40
suanshuicao,酸水草,Suān Shuí Cǎo,抱茎眼子菜、穿叶眼子菜,,,https://www.zysj.com.cn/zhongyaocai/suanshuicao/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-21 22:28:41
suanmeile,酸梅簕,Suān Méi Lè,对节刺、碎米子,,,https://www.zysj.com.cn/zhongyaocai/suanmeile/index.html,1,《全国中草药汇编》,2025-12-21 22:28:42
suanzaogenpi,酸枣根皮,Suān Zǎo Gēn Pí,,,,https://www.zysj.com.cn/zhongyaocai/suanzaogenpi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:42
suanmoye,酸模叶,Suān Mó Yè,,,,https://www.zysj.com.cn/zhongyaocai/suanmoye/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:42
suanjiang,酸浆,Suān Jiānɡ,葴、寒浆（《尔雅》），醋浆（《本经》），苦葴、苦蘵、皮弁草（崔豹《古今注》），酸浆草（《尔雅》郭璞注），灯笼草（《唐本草》），苦耽（《嘉佑本草》），金灯草（《履巉岩本草》），姑娘菜、灯笼儿（《救荒本草》），红姑娘（《卮言》），天泡草（《纲目》），红娘子（《柳边纪略》），珊瑚架（《汪连仕采药书》），山瑚柳、天灯笼草（《纲目拾遗》），九古牛（《植物名实图考》），泡子草，扑扑子草（《福建民间草药》），花姑娘（《民间常用草药汇编》），姑娘花（《四川武隆药植图志》），打朴草（《闽南民间草药》），叶下灯、铃,,,https://www.zysj.com.cn/zhongyaocai/suanjiang/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:44
suanjianggen,酸浆根,Suān Jiānɡ Gēn,天灯笼草根,,,https://www.zysj.com.cn/zhongyaocai/suanjianggen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:44
suanmoyetuowu,酸模叶橐吾,Suān Mó Yè Tuó Wú,独叶草、大独叶草、化血丹,,,https://www.zysj.com.cn/zhongyaocai/suanmoyetuowu/index.html,1,《全国中草药汇编》,2025-12-21 22:28:44
suanyejiaoteng,酸叶胶藤,Suān Yè Jiāo Ténɡ,石酸藤、细叶榕藤、红背酸藤、黑风藤、斑鸪藤、十八症、风藤,,,https://www.zysj.com.cn/zhongyaocai/suanyejiaoteng/index.html,1,《全国中草药汇编》,2025-12-21 22:28:44
suanbuliu,酸不溜,Suān Bù Liū,分枝蓼、叉枝蓼、酸姜（《中国沙漠地区药用植物》）。,,,https://www.zysj.com.cn/zhongyaocai/suanbuliu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:46
suanguoteng,酸果藤,Suān Guǒ Ténɡ,酸藤子、酸藤果、山盐酸鸡、酸醋藤、入地龙、信筒子,,,https://www.zysj.com.cn/zhongyaocai/suanguoteng/index.html,1,《全国中草药汇编》,2025-12-21 22:28:46
suanzaogen,酸枣根,Suān Zǎo Gēn,,,,https://www.zysj.com.cn/zhongyaocai/suanzaogen/index.html,1,《中华本草》,2025-12-21 22:28:47
suyou,酥油,Sū Yóu,奶油、牦牛油,,,https://www.zysj.com.cn/zhongyaocai/suyou/index.html,1,《全国中草药汇编》,2025-12-21 22:28:47
suanzaoren,酸枣仁,Suān Zǎo Rén,山枣仁、山酸枣,,,https://www.zysj.com.cn/zhongyaocai/suanzaoren/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 22:28:49
su,酥,Sū,苏（《本草经集注》），酪苏（《唐本草》），酥油、马思哥油、白酥油（《饮膳正要》）。,,,https://www.zysj.com.cn/zhongyaocai/su/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:49
saijingang,赛金刚,Sài Jīn Gānɡ,曲莲、细叶锣锅底（《云南思茅中草药选》）。,,,https://www.zysj.com.cn/zhongyaocai/saijingang/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:49
shanyutou,鳝鱼头,Shàn Yú Tóu,,,,https://www.zysj.com.cn/zhongyaocai/shanyutou/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:49
saifanhonghua,赛番红花,Sài Fān Hónɡ Huā,菖蒲莲、红玉帘、风雨花（《华北习见观赏植物》），旱水仙、空心韭菜（《贵州草药》）。,,,https://www.zysj.com.cn/zhongyaocai/saifanhonghua/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:49
saifanlv,赛繁缕,Sài Fán Lǚ,鸡儿肠、鹅儿肠、繁缕,,,https://www.zysj.com.cn/zhongyaocai/saifanlv/index.html,1,《全国中草药汇编》,2025-12-21 22:28:51
shukuimiao,蜀葵苗,Shǔ Kuí Miáo,葵茎、赤葵茎。,,,https://www.zysj.com.cn/zhongyaocai/shukuimiao/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:51
suanzaoshupi,酸枣树皮,Suān Zǎo Shù Pí,,,,https://www.zysj.com.cn/zhongyaocai/suanzaoshupi/index.html,1,《中华本草》,2025-12-21 22:28:52
saibeizijin,赛北紫堇,Sài Běi Zǐ Jǐn,断肠草,,,https://www.zysj.com.cn/zhongyaocai/saibeizijin/index.html,1,《中华本草》,2025-12-21 22:28:52
shukuihua,蜀葵花,Shǔ Kuí Huā,侧金盏（《尔雅翼》），棋盘花（《分类草药性》），蜀其花（《本草推陈》），水芙蓉（《湖南药物志》），栽秧花（《贵州草药》），镲钹花、擀杖花（《陕西中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/shukuihua/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:54
suanbuliugen,酸不溜根,Suān Bù Liū Gēn,,,,https://www.zysj.com.cn/zhongyaocai/suanbuliugen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:55
shukuizi,蜀葵子,Shǔ Kuí Zǐ,,,,https://www.zysj.com.cn/zhongyaocai/shukuizi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:55
shukuiyeshuyu,蜀葵叶薯蓣,Shǔ Kuí Yè Shǔ Yù,龙骨七（《贵州草药》），穿山龙、细山药（《云南经济植物》）。,,,https://www.zysj.com.cn/zhongyaocai/shukuiyeshuyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:57
sailangdang,赛莨菪,Sài Lànɡ Dànɡ,山烟、唐古特山莨菪（《西藏常用中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/sailangdang/index.html,1,《中药大辞典》,2025-12-21 22:28:58
shukui,蜀葵,Shǔ Kuí,棋盘花、麻杆花、一丈红、蜀季花、斗篷花、饽饽花、光光花、熟季花、端午花,,,https://www.zysj.com.cn/zhongyaocai/shukui/index.html,1,《全国中草药汇编》,2025-12-21 22:28:58
shuqi,蜀漆,Shǔ Qī,鸡屎草、鸭屎草（《日华子本草》）。,,,https://www.zysj.com.cn/zhongyaocai/shuqi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:59
shezi,蛇鲻,Shé Zī,狗棍、丁鱼、狗母鱼,,,https://www.zysj.com.cn/zhongyaocai/shezi/index.html,1,《中华本草》,2025-12-21 22:28:59
shefuzi,蛇附子,Shé Fù Zǐ,石猴子（《植物名实图考》），石抱子、土经丸（《江西草药》），金线吊葫芦，三叶对（《浙扛民间常用草药》），小扁藤、三叶扁藤、拦山虎（《广西实用中草药新选》），雷胆子（湖南《中草药新医疗法资料选编》）。,,,https://www.zysj.com.cn/zhongyaocai/shefuzi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:28:59
shemicao,蛇迷草,Shé Mí Cǎo,,,,https://www.zysj.com.cn/zhongyaocai/shemicao/index.html,1,《中华本草》,2025-12-21 22:29:00
shetuibu,蛇退步,Shé Tuì Bù,三枝标、蛇鳞草（《广东中药》Ⅱ》。,,,https://www.zysj.com.cn/zhongyaocai/shetuibu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:00
suanmo,酸模,Suān Mó,山菠菜、野菠菜、酸溜溜、牛舌头棵、水牛舌头，田鸡脚,,,https://www.zysj.com.cn/zhongyaocai/suanmo/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:00
shejianpa,蛇见怕,Shé Jiàn Pà,细样倒扣草、镜面草、拔子弹草、小马鞭草[广西],,,https://www.zysj.com.cn/zhongyaocai/shejianpa/index.html,1,《全国中草药汇编》,2025-12-21 22:29:00
shetui_10065,蛇退,Shé Tuì,俞莲,,,https://www.zysj.com.cn/zhongyaocai/shetui_10065/index.html,1,《中药大辞典》,2025-12-21 22:29:01
suanzaorou,酸枣肉,Suān Zǎo Ròu,,,,https://www.zysj.com.cn/zhongyaocai/suanzaorou/index.html,1,《中华本草》,2025-12-21 22:29:01
shuwujia_27131,蜀五加,Shǔ Wǔ Jiā,五加皮,,,https://www.zysj.com.cn/zhongyaocai/shuwujia_27131/index.html,1,《中华本草》,2025-12-21 22:29:01
shuyangquan,蜀羊泉,Shǔ Yánɡ Quán,青杞、红葵、野苏子、野辣子、药人豆、野枸杞,,,https://www.zysj.com.cn/zhongyaocai/shuyangquan/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:03
suanshiliu,酸石榴,Suān Shí Liu,醋石榴（《海上集验方》）。,,,https://www.zysj.com.cn/zhongyaocai/suanshiliu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:07
sheteng,蛇藤,,穿山龙[福建],,,https://www.zysj.com.cn/zhongyaocai/sheteng/index.html,1,《全国中草药汇编》,2025-12-21 22:29:07
shukuigen,蜀葵根,Shǔ Kuí Gēn,葵花根、土黄蓍、棋盘花根。,,,https://www.zysj.com.cn/zhongyaocai/shukuigen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:07
saikui,赛葵,Sài Kuí,黄花棉、山黄麻、大叶黄花猛、山桃仔,,,https://www.zysj.com.cn/zhongyaocai/saikui/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:08
sheputaogen,蛇葡萄根,Shé Pú Tɑo Gēn,山葡萄根（《江西草药》），野葡萄根（《泉州本草》），蛇白蔹（《东北常用中草药手册》）。,,,https://www.zysj.com.cn/zhongyaocai/sheputaogen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:08
shetui,蛇蜕,Shé Tuì,蛇皮、蛇退、长虫皮、龙衣、蛇壳,,,https://www.zysj.com.cn/zhongyaocai/shetui/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 22:29:11
shegu,蛇菰,,角菌、铺地开花,,,https://www.zysj.com.cn/zhongyaocai/shegu/index.html,1,《全国中草药汇编》,2025-12-21 22:29:12
sheputao,蛇葡萄,Shé Pú Tɑo,蛇白蔹、假葡萄、野葡萄、山葡萄、绿葡萄、见毒消,,,https://www.zysj.com.cn/zhongyaocai/sheputao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:13
shedan,蛇胆,,,,,https://www.zysj.com.cn/zhongyaocai/shedan/index.html,1,《全国中草药汇编》,2025-12-21 22:29:16
shemuju,蛇目菊,Shé Mù Jú,孔雀草、波斯菊、痢疾草,,,https://www.zysj.com.cn/zhongyaocai/shemuju/index.html,1,《中华本草》,2025-12-21 22:29:16
shemei,蛇莓,Shé Méi,蛇泡草、蛇盘草、蛇果草、龙吐珠、宝珠草、三匹风、三叶莓、地杨梅、三爪风、三爪龙、三脚虎、红顶果,,,https://www.zysj.com.cn/zhongyaocai/shemei/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:16
shedancao,蛇胆草,,戏班须、式格娃儿藤,,,https://www.zysj.com.cn/zhongyaocai/shedancao/index.html,1,《全国中草药汇编》,2025-12-21 22:29:18
shegeda,蛇疙瘩,,红姜、野黄姜、岩陀、毛头寒、半边伞、紫姜、大红袍、岩七、红升麻[云南],,,https://www.zysj.com.cn/zhongyaocai/shegeda/index.html,1,《全国中草药汇编》,2025-12-21 22:29:19
shegencao,蛇根草,Shé Gēn Cǎo,血和散、雪里梅、四季花,,,https://www.zysj.com.cn/zhongyaocai/shegencao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:20
shegenmu,蛇根木,Shé Gēn Mù,印度萝芙木、印度蛇根木,,,https://www.zysj.com.cn/zhongyaocai/shegenmu/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:21
shebailian,蛇白蔹,Shé Bái Liǎn,山胡烂、见毒消。,,,https://www.zysj.com.cn/zhongyaocai/shebailian/index.html,1,《中华本草》,2025-12-21 22:29:22
shechuangzi,蛇床子,Shé Chuánɡ Zǐ,野茴香、野胡萝卜子、蛇米、蛇栗,,,https://www.zysj.com.cn/zhongyaocai/shechuangzi/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 22:29:23
sheweicao,蛇尾草,,蛇含草、鸡心贝母,,,https://www.zysj.com.cn/zhongyaocai/sheweicao/index.html,1,《全国中草药汇编》,2025-12-21 22:29:23
shejiegu,蛇接骨,Shé Jiē Gǔ,白叶跌打、见肿消、羊草跌打、回筋口千、树三七、石三七,,,https://www.zysj.com.cn/zhongyaocai/shejiegu/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:24
shemeigen,蛇莓根,Shé Méi Gēn,三皮风根（《贵州省中医验方秘方》）。,,,https://www.zysj.com.cn/zhongyaocai/shemeigen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:24
shetoucao,蛇头草,,华东蒟蒻,,,https://www.zysj.com.cn/zhongyaocai/shetoucao/index.html,1,《全国中草药汇编》,2025-12-21 22:29:24
sheguohuangjin,蛇果黄堇,Shé Guǒ Huánɡ Jǐn,扭果黄堇、断肠草,,,https://www.zysj.com.cn/zhongyaocai/sheguohuangjin/index.html,1,《中华本草》,2025-12-21 22:29:25
shundihong,顺地红,Shùn Dì Hónɡ,猪蹄甲子（陕西）。,,,https://www.zysj.com.cn/zhongyaocai/shundihong/index.html,1,《中华本草》,2025-12-21 22:29:25
shepo,蛇婆,Shé Pó,,,,https://www.zysj.com.cn/zhongyaocai/shepo/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:27
shetouxixin,蛇头细辛,Shé Tóu Xì Xīn,蜘蛛香、水臭草、阿计欧、岩边香,,,https://www.zysj.com.cn/zhongyaocai/shetouxixin/index.html,1,《中华本草》,2025-12-21 22:29:27
shediqian,蛇地钱,Shé Dì Qián,地皮斑,,,https://www.zysj.com.cn/zhongyaocai/shediqian/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:28
shepozi,蛇婆子,Shé Pó Zǐ,仙人撒网、和他草、满地毯,,,https://www.zysj.com.cn/zhongyaocai/shepozi/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:28
shehan,蛇含,Shé Hán,五匹风、五爪龙,,,https://www.zysj.com.cn/zhongyaocai/shehan/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:29
shebujian,蛇不见,Shé Bú Jiàn,,,,https://www.zysj.com.cn/zhongyaocai/shebujian/index.html,1,《中华本草》,2025-12-21 22:29:29
shizicao,虱子草,Shī Zi Cǎo,山麻黄、蛇咬药、千垂鸟、蛇皮草、臭虫草、膈蚤七、麝香草,,,https://www.zysj.com.cn/zhongyaocai/shizicao/index.html,1,《全国中草药汇编》,2025-12-21 22:29:30
shicaohua,虱草花,Shī Cǎo Huā,明涧色尔布（藏名）,,,https://www.zysj.com.cn/zhongyaocai/shicaohua/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:31
sheyancao,蛇眼草,Shé Yǎn Cǎo,雨过天晴、大麻草、粉草、鸢尾叶凤尾菊,,,https://www.zysj.com.cn/zhongyaocai/sheyancao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:31
shehanshi,蛇含石,Shé Hán Shí,蛇黄,,,https://www.zysj.com.cn/zhongyaocai/shehanshi/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:32
shewangteng,蛇王藤,Shé Wánɡ Ténɡ,双目灵,,,https://www.zysj.com.cn/zhongyaocai/shewangteng/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 22:29:32
shulang,薯莨,Shǔ Lànɡ,山猪薯、山羊头、朱砂莲[湖南]、茹榔、金花果、红孩儿,,,https://www.zysj.com.cn/zhongyaocai/shulang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:35
shuliang,薯良,Shǔ Liánɡ,赭魁（《别录》），朱砂莲、鸡血莲、血母（《贵州民间方药集》），血三七、雄黄七、血葫芦、朱砂七、红药子、恶边（《湖南药物志》），酱头、避血雷（《贵州草药》），金花果（《云南中草药》），红孩儿、孩儿血（江西《草药手册》），血娃（《曲靖医药》）。,,,https://www.zysj.com.cn/zhongyaocai/shuliang/index.html,1,《中药大辞典》,2025-12-21 22:29:35
suoyilian,蓑衣莲,Suō Yī Lián,耳叶紫菀,,,https://www.zysj.com.cn/zhongyaocai/suoyilian/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:38
suocaogen,蓑草根,Suō Cǎo Gēn,,,,https://www.zysj.com.cn/zhongyaocai/suocaogen/index.html,1,《中药大辞典》,2025-12-21 22:29:41
shishi_10103,蓍实,Shī Shí,,,,https://www.zysj.com.cn/zhongyaocai/shishi_10103/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:41
shishi,蒒实,Shī Shí,自然谷、禹余粮（张华《博物志》），师草实（《本草拾遗》），砂贡子（《中国经济植物志》）。,,,https://www.zysj.com.cn/zhongyaocai/shishi/index.html,1,《中药大辞典》,2025-12-21 22:29:42
songcaizi,菘菜子,Sōnɡ Cài Zǐ,青菜子,,,https://www.zysj.com.cn/zhongyaocai/songcaizi/index.html,1,《中华本草》,2025-12-21 22:29:44
suocao_9902,莎草,Suō Cǎo,莎随（《大戴礼记》），侯莎（《尔雅》），地毛（《广雅》），山莎（《纂文》），回头青（《清异录》），香头草（《广州植物志》），野韭菜，猪荸荠、隔夜抽、地韭姜（《浙江中药手册，），地沟草（《广西中兽医药植》），小三棱、米珠子、绍缩草（《江苏植药志》），地贯草、猪鬃草、地糕草（《广西中药志》），吊马棕（《湖南药物志》），土香草（《泉州本草》）。,,,https://www.zysj.com.cn/zhongyaocai/suocao_9902/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:44
shuodiao,蒴藋,Shuò Diào,接骨草（《履巉岩本草》），接骨木（《东医宝鉴》），真珠花、珊瑚花、排风藤、铁篱笆（《植物名实图考长编》），吴草（《草木便方》），英雄草（《分类草药性》），苛草（《天宝本草》），走马箭、赤苓叶（《岭南采药录》），公道老（《中国树木分类学》），排风草、鸡罅风（《中国药植志》），扫地风、八棱麻（《贵州民间方药集》），葛辣、五甲皮、龙州三七（《广西中兽医药植》），大臭草（《民间常用草药汇编》），七叶麻（《江西民间药草》），马鞭三七、落得打、珍珠连（《浙江民间草药》），秧心草（《四川中药志》），八里麻、臭,,,https://www.zysj.com.cn/zhongyaocai/shuodiao/index.html,1,《中药大辞典》,2025-12-21 22:29:44
songzi,菘子,Sōnɡ Zǐ,菘菜子（《圣惠方》）。,,,https://www.zysj.com.cn/zhongyaocai/songzi/index.html,1,《中药大辞典》,2025-12-21 22:29:44
suocao,蓑草,Suō Cǎo,山草、山草根、龙须草、山茅草、羊草、拟金茅,,,https://www.zysj.com.cn/zhongyaocai/suocao/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 22:29:45
shamumian,莎木面,Shā Mù Miàn,莎而（《海药本草》），沙孤米（《东西洋考》），西国米（《通雅》）。,,,https://www.zysj.com.cn/zhongyaocai/shamumian/index.html,1,《中药大辞典》,2025-12-21 22:29:45
shuodiaochizi,蒴藋赤子,Shuò Diào Chì Zǐ,,,,https://www.zysj.com.cn/zhongyaocai/shuodiaochizi/index.html,1,《中药大辞典》,2025-12-21 22:29:46
suocaojue,莎草蕨,Suō Cǎo Jué,,,,https://www.zysj.com.cn/zhongyaocai/suocaojue/index.html,1,《中华本草》,2025-12-21 22:29:46
suhuangqi,苏黄耆,Sū Huánɡ Qí,土黄芪、献干粮、狗干粮（《陕西中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/suhuangqi/index.html,1,《中药大辞典》,2025-12-21 22:29:46
songcai,菘菜,Sōnɡ Cài,白菜（《饮膳正要》），夏菘（《农政全书》），小白菜、江门白菜（《广州植物志》），油白菜（《苏南种子植物》）。,,,https://www.zysj.com.cn/zhongyaocai/songcai/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 22:29:46
