药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
tuorou,鼍肉,Tuó Ròu,,,,https://www.zysj.com.cn/zhongyaocai/tuorou/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:10
tuojia,鼍甲,Tuó Jiǎ,鮀鱼甲（《本经》）。,,,https://www.zysj.com.cn/zhongyaocai/tuojia/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:11
tihuzhiyou,鹈鹕脂油,Tí Hú Zhī Yóu,,,,https://www.zysj.com.cn/zhongyaocai/tihuzhiyou/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:11
weiyu,鮠鱼,Wéi Yú,魾、鳠（《尔雅》），魤（《本草拾遗》），懒鱼（《本草图经》），蛔鱼、蜾鱼（《纲目》），白戟鱼（姚可成《食物本草》），阔口鱼（《本经逢原》），白冀（《随息居饮食谱》）。,,,https://www.zysj.com.cn/zhongyaocai/weiyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:11
xiao,鸮,Xiāo,流离、鸱鸮（《诗经》），土枭（《尔雅》），服（《汉书》），天鸟（《周礼》郑玄注），训狐（《巴蜀异物志》），山鸮（《汉书》晋灼注），画鸟（《埤雅》），幸狐、车载板、快扛鸟、春哥儿（《纲目》），猫头鸟（《随息居饮食谱》）。,,,https://www.zysj.com.cn/zhongyaocai/xiao/index.html,1,《中药大辞典》,2025-12-21 21:41:11
yexiahua,叶下花,Yè Xià Huā,追风箭,,,https://www.zysj.com.cn/zhongyaocai/yexiahua/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:12
yupengyusai,（鱼彭）鱼鳃,（ Yú Pénɡ ） Yú Sāi,,,,https://www.zysj.com.cn/zhongyaocai/yupengyusai/index.html,1,《中华本草》,2025-12-21 21:41:12
zheguxue,鹧鸪血,Zhè Gū Xuè,,,,https://www.zysj.com.cn/zhongyaocai/zheguxue/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:12
zhegucai,鹧鸪菜,Zhè Gū Cài,蛔虫菜、乌菜、石疤（《中国经济海藻志》）。,,,https://www.zysj.com.cn/zhongyaocai/zhegucai/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:12
zhegujiao,鹧鸪脚,Zhè Gū Jiǎo,,,,https://www.zysj.com.cn/zhongyaocai/zhegujiao/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:13
zheguzhi,鹧鸪脂,Zhè Gū Zhī,鹧鸪脂膏（《纲目》）。,,,https://www.zysj.com.cn/zhongyaocai/zheguzhi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:13
zhegu,鹧鸪,Zhè Gū,越雉（《禽经》），越鸟（《医林纂要》）。,,,https://www.zysj.com.cn/zhongyaocai/zhegu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:13
